File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biosample Age	Biological replicate(s)	Technical replicate	Read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	File download URL	Assembly	Platform
ENCFF344YZH	bigWig	minus strand signal of unique reads	ENCSR067UNX	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		nucleus					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	1	1					ENCFF956WBH	124155207	ENCODE Processing Pipeline	4547caf968d9724418c30fd871c044ac	https://www.encodeproject.org/files/ENCFF344YZH/@@download/ENCFF344YZH.bigWig	hg19	
ENCFF185NNN	bigWig	plus strand signal of unique reads	ENCSR067UNX	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		nucleus					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	1	1					ENCFF956WBH	127013088	ENCODE Processing Pipeline	6c390cbafda654175ab589aa0668f3b0	https://www.encodeproject.org/files/ENCFF185NNN/@@download/ENCFF185NNN.bigWig	hg19	
ENCFF747QMG	bigWig	plus strand signal of all reads	ENCSR067UNX	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		nucleus					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	1	1					ENCFF956WBH	133594800	ENCODE Processing Pipeline	f09dcf725adb4fcdec4cbf50e15ceeee	https://www.encodeproject.org/files/ENCFF747QMG/@@download/ENCFF747QMG.bigWig	hg19	
ENCFF768ZYQ	bigWig	plus strand signal of unique reads	ENCSR067UNX	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		nucleus					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	2	1					ENCFF588NWY	170257351	ENCODE Processing Pipeline	30335fb9a1b3c22511a3fb3cbeded306	https://www.encodeproject.org/files/ENCFF768ZYQ/@@download/ENCFF768ZYQ.bigWig	hg19	
ENCFF628LUE	bigWig	minus strand signal of all reads	ENCSR067UNX	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		nucleus					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	1	1					ENCFF956WBH	131585166	ENCODE Processing Pipeline	3989fe3b3062db372f60548bb9b85f73	https://www.encodeproject.org/files/ENCFF628LUE/@@download/ENCFF628LUE.bigWig	hg19	
ENCFF839GIZ	bigWig	minus strand signal of unique reads	ENCSR067UNX	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		nucleus					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	2	1					ENCFF588NWY	165953484	ENCODE Processing Pipeline	5fbf1053cc7ece0f6ccbfb76d3210f31	https://www.encodeproject.org/files/ENCFF839GIZ/@@download/ENCFF839GIZ.bigWig	hg19	
ENCFF633SAD	bigWig	plus strand signal of all reads	ENCSR067UNX	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		nucleus					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	2	1					ENCFF588NWY	179731123	ENCODE Processing Pipeline	e4ef023da2d29a64d18fd81e88fb98ef	https://www.encodeproject.org/files/ENCFF633SAD/@@download/ENCFF633SAD.bigWig	hg19	
ENCFF098CJM	bigWig	minus strand signal of all reads	ENCSR067UNX	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		nucleus					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	2	1					ENCFF588NWY	176591590	ENCODE Processing Pipeline	3febd23f7623e651236f735e3543c64d	https://www.encodeproject.org/files/ENCFF098CJM/@@download/ENCFF098CJM.bigWig	hg19	
ENCFF878OSM	bigWig	minus strand signal of unique reads	ENCSR067UNX	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		nucleus					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	1	1					ENCFF176HWN	133573159	ENCODE Processing Pipeline	7a628f8b85eefd920911f814da04ec12	https://www.encodeproject.org/files/ENCFF878OSM/@@download/ENCFF878OSM.bigWig	hg19	
ENCFF933YNZ	bigWig	plus strand signal of unique reads	ENCSR067UNX	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		nucleus					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	1	1					ENCFF176HWN	136581890	ENCODE Processing Pipeline	aeab5bbb4db7df886bc8ca507115c24d	https://www.encodeproject.org/files/ENCFF933YNZ/@@download/ENCFF933YNZ.bigWig	hg19	
