filename	biosample	lifestage	lab	assembly	url
41_Hf01_LiHe_Ct_mRNA_M_1_GTCCGC_L005_R1_001.fastq.gz	hepa	ad	MDCB	hg19	/download/sequencing/strand_specific_mrna_sequencing/view-by-pid/41_Hf01_LiHe_Ct/replicate1/paired/run131016_SN471_0153_A_D263EACXX/sequence
41_Hf01_LiHe_Ct_mRNA_M_1_GTCCGC_L005_R2_001.fastq.gz	hepa	ad	MDCB	hg19	/download/sequencing/strand_specific_mrna_sequencing/view-by-pid/41_Hf01_LiHe_Ct/replicate1/paired/run131016_SN471_0153_A_D263EACXX/sequence
41_Hf01_LiHe_Ct_mRNA_M_1_GTCCGC_L006_R1_001.fastq.gz	hepa	ad	MDCB	hg19	/download/sequencing/strand_specific_mrna_sequencing/view-by-pid/41_Hf01_LiHe_Ct/replicate1/paired/run131016_SN471_0153_A_D263EACXX/sequence
41_Hf01_LiHe_Ct_mRNA_M_1_GTCCGC_L006_R2_001.fastq.gz	hepa	ad	MDCB	hg19	/download/sequencing/strand_specific_mrna_sequencing/view-by-pid/41_Hf01_LiHe_Ct/replicate1/paired/run131016_SN471_0153_A_D263EACXX/sequence
41_Hf01_LiHe_Ct_mRNA_M_1_GTCCGC_L007_R1_001.fastq.gz	hepa	ad	MDCB	hg19	/download/sequencing/strand_specific_mrna_sequencing/view-by-pid/41_Hf01_LiHe_Ct/replicate1/paired/run131016_SN471_0153_A_D263EACXX/sequence
41_Hf01_LiHe_Ct_mRNA_M_1_GTCCGC_L007_R2_001.fastq.gz	hepa	ad	MDCB	hg19	/download/sequencing/strand_specific_mrna_sequencing/view-by-pid/41_Hf01_LiHe_Ct/replicate1/paired/run131016_SN471_0153_A_D263EACXX/sequence
41_Hf01_LiHe_Ct_mRNA_M_1_GTCCGC_L008_R1_001.fastq.gz	hepa	ad	MDCB	hg19	/download/sequencing/strand_specific_mrna_sequencing/view-by-pid/41_Hf01_LiHe_Ct/replicate1/paired/run131016_SN471_0153_A_D263EACXX/sequence
41_Hf01_LiHe_Ct_mRNA_M_1_GTCCGC_L008_R2_001.fastq.gz	hepa	ad	MDCB	hg19	/download/sequencing/strand_specific_mrna_sequencing/view-by-pid/41_Hf01_LiHe_Ct/replicate1/paired/run131016_SN471_0153_A_D263EACXX/sequence
41_Hf02_LiHe_Ct_mRNA_K_1_GAGTGG_L005_R1_001.fastq.gz	hepa	ad	IKMB	hg19	/download/sequencing/strand_specific_mrna_sequencing/view-by-pid/41_Hf02_LiHe_Ct/replicate1/paired/run140212_SN758_0152_BC3ETGACXX/sequence
41_Hf02_LiHe_Ct_mRNA_K_1_GAGTGG_L005_R2_001.fastq.gz	hepa	ad	IKMB	hg19	/download/sequencing/strand_specific_mrna_sequencing/view-by-pid/41_Hf02_LiHe_Ct/replicate1/paired/run140212_SN758_0152_BC3ETGACXX/sequence
41_Hf02_LiHe_Ct_mRNA_K_1_GAGTGG_L006_R1_001.fastq.gz	hepa	ad	IKMB	hg19	/download/sequencing/strand_specific_mrna_sequencing/view-by-pid/41_Hf02_LiHe_Ct/replicate1/paired/run140212_SN758_0152_BC3ETGACXX/sequence
41_Hf02_LiHe_Ct_mRNA_K_1_GAGTGG_L006_R2_001.fastq.gz	hepa	ad	IKMB	hg19	/download/sequencing/strand_specific_mrna_sequencing/view-by-pid/41_Hf02_LiHe_Ct/replicate1/paired/run140212_SN758_0152_BC3ETGACXX/sequence
41_Hf02_LiHe_Ct_mRNA_K_1_GAGTGG_L007_R1_001.fastq.gz	hepa	ad	IKMB	hg19	/download/sequencing/strand_specific_mrna_sequencing/view-by-pid/41_Hf02_LiHe_Ct/replicate1/paired/run140212_SN758_0152_BC3ETGACXX/sequence
41_Hf02_LiHe_Ct_mRNA_K_1_GAGTGG_L007_R2_001.fastq.gz	hepa	ad	IKMB	hg19	/download/sequencing/strand_specific_mrna_sequencing/view-by-pid/41_Hf02_LiHe_Ct/replicate1/paired/run140212_SN758_0152_BC3ETGACXX/sequence
41_Hf02_LiHe_Ct_mRNA_K_1_GAGTGG_L008_R1_001.fastq.gz	hepa	ad	IKMB	hg19	/download/sequencing/strand_specific_mrna_sequencing/view-by-pid/41_Hf02_LiHe_Ct/replicate1/paired/run140212_SN758_0152_BC3ETGACXX/sequence
41_Hf02_LiHe_Ct_mRNA_K_1_GAGTGG_L008_R2_001.fastq.gz	hepa	ad	IKMB	hg19	/download/sequencing/strand_specific_mrna_sequencing/view-by-pid/41_Hf02_LiHe_Ct/replicate1/paired/run140212_SN758_0152_BC3ETGACXX/sequence
41_Hf03_LiHe_Ct_mRNA_K_1_CGATGT_L003_R1_complete_filtered.fastq.gz	hepa	ad	IKMB	hg19	/download/sequencing/strand_specific_mrna_sequencing/view-by-pid/41_Hf03_LiHe_Ct/replicate1/paired/run140827_SN751_0200_BC533PACXX/sequence
41_Hf03_LiHe_Ct_mRNA_K_1_CGATGT_L003_R2_complete_filtered.fastq.gz	hepa	ad	IKMB	hg19	/download/sequencing/strand_specific_mrna_sequencing/view-by-pid/41_Hf03_LiHe_Ct/replicate1/paired/run140827_SN751_0200_BC533PACXX/sequence
